"inning","inningHalf","outcomeId","outcomeDescription","pitcherThrowHand","pitcherPitchCount","pitchSpeed","pitchZone","startingBalls","startingStrikes","startingOuts","Success","age","sprint_speed","Fastest","AvgSpeed","home_lead","pitchType","pitchTypeDescription"
4,"BOT","kKL","Strike Looking","R",71,94,4,1,0,1,1,29,28.7,96.2,90.0391184573003,1,"FA","Fastball"
2,"TOP","bB","Ball","R",22,82,11,1,1,0,0,34,26.9,94.2,87.6513026052104,0,"CH","Changeup"
3,"BOT","bB","Ball","R",22,94,10,1,0,2,1,28,26.7,98.4,91.2376091954023,4,"FA","Fastball"
1,"BOT","bB","Ball","R",18,95,12,0,0,2,1,26,30.1,99,91.9214359504132,-1,"FA","Fastball"
3,"TOP","kKS","Strike Swinging","R",52,90,11,3,2,1,0,27,27.8,97.8,90.124321880651,0,"FA","Fastball"
7,"TOP","bB","Ball","R",10,88,13,1,0,3,1,26,30.4,95.9,87.5426630434783,-3,"PI","Pitchout"
7,"TOP","bPO","Pitch Out","R",10,88,13,0,0,2,0,26,30.4,95.9,87.5426630434783,-3,"PI","Pitchout"
8,"BOT","bB","Ball","L",18,83,11,1,2,2,1,28,26.7,93.8,88.5053986710963,-3,"SL","Slider"
7,"TOP","kKL","Strike Looking","R",7,85,7,0,1,0,1,30,28,95,88.2149309912171,-1,"CT","Cutter"
1,"TOP","bB","Ball","L",15,75,12,0,2,2,1,31,28.5,92.6,84.7209312259718,0,"CU","Curveball"
8,"TOP","kKS","Strike Swinging","R",11,98,5,3,2,1,1,28,28.1,100.4,94.1682682682683,-2,"CT","Cutter"
1,"TOP","bB","Ball","R",9,90,13,1,2,0,1,29,27.5,98.7,90.7064921090387,0,"FA","Fastball"
1,"TOP","kKL","Strike Looking","L",5,90,9,0,0,0,1,32,28.1,92.6,84.7209312259718,0,"FA","Fastball"
5,"BOT","bB","Ball","R",54,93,12,0,0,0,1,33,26.7,96.2,89.4194214876033,3,"FA","Fastball"
7,"TOP","kKL","Strike Looking","R",9,89,12,1,1,2,1,29,27.5,97,90.6313852813853,-5,"CT","Cutter"
